Common name,Species,Rarity
Horned Lark,Eremophila alpestris,
Eurasian Sky Lark,Alauda arvensis,Introduced species
,,
PASSERIFORMES: Hirundinidae,,
Northern House Martin,Delichon urbicum,Rare/Accidental
Cliff Swallow,Petrochelidon pyrrhonota,
Cave Swallow,Petrochelidon fulva,Rare/Accidental
Barn Swallow,Hirundo rustica,
Sand Martin,Riparia riparia,
Tree Swallow,Tachycineta bicolor,
Violet-green Swallow,Tachycineta thalassina,
Purple Martin,Progne subis,
Northern Rough-winged Swallow,Stelgidopteryx serripennis,
,,
PASSERIFORMES: Phylloscopidae,,
Yellow-browed Warbler,Abrornis inornatus,Rare/Accidental
,,
PASSERIFORMES: Aegithalidae,,
Bushtit,Psaltriparus minimus,
,,
PASSERIFORMES: Regulidae,,
Ruby-crowned Kinglet,Regulus calendula,
Golden-crowned Kinglet,Regulus satrapa,
,,
PASSERIFORMES: Bombycillidae,,
Bohemian Waxwing,Bombycilla garrulus,
Cedar Waxwing,Bombycilla cedrorum,
,,
PASSERIFORMES: Certhiidae,,
American Treecreeper,Certhia americana,
,,
PASSERIFORMES: Sittidae,,
Pygmy Nuthatch,Sitta pygmaea,
Red-breasted Nuthatch,Sitta canadensis,
White-breasted Nuthatch,Sitta carolinensis,
,,
PASSERIFORMES: Troglodytidae,,
Boulder Wren,Salpinctes obsoletus,
Canyon Wren,Catherpes mexicanus,
Pacific Wren,Troglodytes pacificus,
Winter Wren,Troglodytes hiemalis,
House Wren,Troglodytes aedon,
Sedge Wren,Cistothorus platensis,Rare/Accidental
Marsh Wren,Cistothorus palustris,
Bewick's Wren,Thryomanes bewickii,
,,
PASSERIFORMES: Polioptilidae,,
Blue-gray Gnatcatcher,Polioptila caerulea,Rare/Accidental
,,
PASSERIFORMES: Mimidae,,
Gray Catbird,Dumetella carolinensis,
Northern Mockingbird,Mimus polyglottos,
Sage Thrasher,Oreoscoptes montanus,
Curve-billed Thrasher,Toxostoma curvirostre,Rare/Accidental
Brown Thrasher,Toxostoma rufum,Rare/Accidental
,,
PASSERIFORMES: Sturnidae,,
Common Starling,Sturnus vulgaris,Introduced species
White-cheeked Starling,Spodiopsar cineraceus,Uncertain origin
Crested Myna,Acridotheres cristatellus,Extirpated
,,
PASSERIFORMES: Cinclidae,,
American Dipper,Cinclus mexicanus,
,,
PASSERIFORMES: Muscicapidae,,
Red-flanked Bluetail,Tarsiger cyanurus,Rare/Accidental
Blue Rock Thrush,Monticola solitarius,Rare/Accidental
Northern Wheatear,Oenanthe oenanthe,Rare/Accidental
,,
PASSERIFORMES: Turdidae,,
Western Bluebird,Sialia mexicana,
Eastern Bluebird,Sialia sialis,Rare/Accidental
Mountain Bluebird,Sialia currucoides,
Townsend's Solitaire,Myadestes townsendi,
Varied Thrush,Ixoreus naevius,
Wood Thrush,Hylocichla mustelina,Rare/Accidental
Swainson's Thrush,Catharus ustulatus,
Veery,Catharus fuscescens,
Gray-cheeked Thrush,Catharus minimus,
Hermit Thrush,Catharus guttatus,
Redwing,Turdus iliacus,Rare/AccidentalÿNear-threatened
American Robin,Turdus migratorius,
Fieldfare,Turdus pilaris,Rare/Accidental
Dusky Thrush,Turdus eunomus,Rare/Accidental
,,
,,
"Total common, non-introduced birds: 298",,
